,p,q,m,q/p,t*,t**,s(t*),cluster,,사업 형태,업종,사원 수 (22.02.01 기준)
왓챠,0.0000521,0.041449345,235664065.7,795.5728407,160.9356592,129.2028389,2448173.198,4,,구독/멤버쉽,"영화, 드라마",232
뉴플로이,0.00785461,0.072714182,76926,9.257516337,27.62156072,11.27580384,1716.831785,2,,지원,인사관리,
시프티,0.002374883,0.139128385,52645.16091,58.58326055,28.76575976,19.45885173,1894.155636,1,,지원,인사관리,18
워시스왓,0.000797831,0.125952405,89481.23066,157.8685727,39.93493849,29.54475744,2853.402545,3,,지원,"홈, 세탁",352
그린카,0.00387239,0.026508809,1089443.865,6.845593249,63.31564172,19.96784995,9483.408898,2,,대여,"자동차, 렌탈",127
팀오투,0.007645224,0.072701011,104993,9.509336661,28.03210534,11.64107099,2330.724632,2,,중개,"자동차, 렌탈",54
윌림,0.02666924,0.0082022,320342,0.307552826,-33.81301112,-71.579099,11873.07755,5,,지원,데이터 기록/관리,12
인플루엔셜,0.001729892,0.166663675,587167,96.34341075,27.12644604,19.30573221,24975.35592,3,,구독/멤버쉽,도서 콘텐츠,93
겟차,0.006895754,0.067326791,103259,9.763514431,30.70027369,12.95690594,2112.280965,2,,중개,"자동차, 종합쇼핑",33
모두컴퍼니,0.007334293,0.101689573,347580,13.86494496,24.11732229,12.03778459,10156.90804,2,,지원,"자동차, 주차",34
브레인커머스,0.012159816,0.066156241,524765,5.440562625,21.62880194,4.812864667,12162.85911,2,,중개,채용,80
채널코퍼레이션,3.00E-05,0.07101703,1787399.405,2365.471604,109.3463051,90.80988668,31760.78603,4,,지원,"기업, 고객관리",111
카카오뱅크,0.01956724,0.015505864,16395029.58,0.792440027,-6.632958862,-44.18190016,325165.6319,5,,지원,"금융, 송금/결제",1050
원티드랩,0.004446103,0.024325408,271267.8364,5.471174919,59.06861793,13.29563437,2307.82844,2,,중개,채용,146
커넥트핏,0.036644602,0.013247943,39901,0.361525093,-20.39230129,-46.78818621,1874.33259,5,,지원,인사관리,10
컬리,0.000954737,0.11671715,2857750.701,122.2506189,40.84300288,29.6512226,84756.90825,3,,유통,식자재,2672
머스트잇,0.002993711,0.113678364,92073,37.97238553,31.17163382,19.88394654,2756.311728,1,,유통,"패션, 명품",99
무신사,0.006213006,0.074598211,5713862.806,12.00678239,30.75651848,14.45979699,125050.2888,2,,유통,"패션, 의류",973
크로키닷컴,0.037258447,0.013223063,3531038,0.354901078,-20.52070515,-46.60863114,170127.6907,5,,추천,"패션, 종합쇼핑",274
크몽,0.001144903,0.106507234,328872.7566,93.02729734,42.10685527,29.87339731,8946.107525,3,,중개,아웃소싱,99
브랜디,0.002957609,0.083525141,1739883.511,28.24076509,38.62928162,23.40129804,38949.50525,1,,유통,"패션, 의류",509
스톤아이,0.008434835,0.066817552,67758,7.921619653,27.50206045,10.00151388,1435.656638,2,,구독/멤버쉽,헬스케어,15
키노라이츠,1.11E-05,0.136568466,5614704.836,12290.97367,68.94603602,59.30361416,191729.1005,4,,추천,"영화, 드라마",15
키튼플래닛,0.003599915,0.086412868,34095.28632,24.00414067,35.30861111,20.67782362,799.216257,1,,제조/공급,"헬스케어, 위생용품",25
마보,0.011956,0.06821005,231933,5.70508955,21.72189698,5.294021383,5463.049761,2,,지원,"헬스케어, 정신건강",11
투미유,0.000786534,0.130255134,60610,165.606532,38.9922899,28.94237278,1997.598785,3,,지원,교육,11
짐싸,0.005642941,0.069715854,61936,12.3545246,33.36070261,15.88486729,1261.303219,2,,중개,"홈, 이사",38
집꾸미기,0.00918607,0.080084583,168904,8.718046101,24.2565173,9.504100342,4201.926479,2,,지원,"홈, 인테리어",82
파킹클라우드,0.017236177,0.017570607,90801,1.019402811,0.552104342,-37.2841372,1565.206603,5,,중개,"자동차, 주차",409
패스트레인,1.16E-05,0.046718537,33314099.05,4037.909218,177.690205,149.5079906,389289.2392,4,,지원,"뷰티, 피부과, 가격비교",37
펫프렌즈,0.000648328,0.105622223,306799.2666,162.9148034,47.92698765,35.53448677,8200.963644,3,,유통,"애완동물, 종합쇼핑",136
미소,0.010465484,0.060677855,140308,5.797902402,24.70359439,6.19226346,2925.908317,2,,중개,"홈, 청소",115
생활연구소,0.004597874,0.105569686,112389,22.96054518,28.44555449,16.49141932,3230.21957,1,,지원,"홈, 청소",75
피플카,5.50E-05,0.058511788,2281513.074,1064.633849,119.0161056,96.52966145,33436.57726,4,,중개,"자동차, 렌탈",85
핀다,0.000423525,0.127576533,293768.6491,301.2258616,44.59263899,34.30391004,9431.80881,3,,연구/분석,금융,71
헬로네이처,4.67E-05,0.047625613,8215168.333,1019.719314,145.3103826,117.6851701,98005.04381,4,,유통,식자재,105
마켓디자이너스,0.013170359,0.057814495,330459,4.389743189,20.83924448,2.286583973,7200.327412,2,,중개,"홈, 청소, 정보제공",68
휴마트컴퍼니,6.79E-05,0.025652307,3954361.986,377.8927179,230.7374294,179.5341553,25494.0202,4,,지원,"헬스케어, 진료",32
